City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Saint-Philippe,RE,65.79,overcast clouds,-21.3585,55.7679,Le four à pain
129,Bongandanga,CD,73.98,overcast clouds,1.5,21.05,
133,Lagoa,PT,71.6,scattered clouds,39.05,-27.9833,Casa Das Faias
134,Lorengau,PG,82.62,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
139,Ananindeua,BR,80.51,scattered clouds,-1.3656,-48.3722,Casa de Retiro Preciosinas
140,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Muzaffarabad,PK,75.81,clear sky,34.37,73.4711,Pearl Continental Muzaffarabad
144,Marawi,PH,77.09,scattered clouds,7.9986,124.2928,Derogongan Residence
148,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
149,Along,IN,75.52,light rain,28.1667,94.7667,Hotel West
150,Muroto,JP,84.06,broken clouds,33.2833,134.15,Oota Ryokan
151,Kuryk,KZ,80.02,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
152,Fortuna,US,69.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
155,Abu Samrah,SY,73.74,clear sky,35.3029,37.1841,
156,Hobyo,SO,76.8,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
160,Touros,BR,74.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
164,Tombouctou,ML,82.83,clear sky,20.0,-3.0,
165,Bom Jesus,BR,72.28,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
166,Vostok,RU,71.4,clear sky,46.4856,135.8833,
168,Tomatlan,MX,82.35,overcast clouds,19.9333,-105.25,El Salvial
169,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
170,Ribeira Brava,PT,71.71,clear sky,32.65,-17.0667,Hotel do Campo
171,Ayagoz,KZ,69.46,scattered clouds,47.9714,80.4392,Gostinitsa Nur
172,Grand-Santi,GF,76.87,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
173,Trairi,BR,77.43,scattered clouds,-3.2778,-39.2689,janelas do mar
175,Tocantins,BR,73.69,few clouds,-10.5,-48.0,
176,Axim,GH,74.19,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
177,Isla Mujeres,MX,77.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
179,Broome,US,70.02,clear sky,42.2506,-75.833,Chenango Valley State Park
180,Takoradi,GH,73.29,overcast clouds,4.8845,-1.7554,Raybow International Hotel
