City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Taunggyi,MM,2022-04-27 19:31:12,20.7833,97.0333,67.35,48,0,2.04
67,Mahebourg,MU,2022-04-27 19:23:09,-20.4081,57.7,73.69,88,40,3.44
68,Khasan,RU,2022-04-27 19:31:14,42.4308,130.6434,44.13,44,43,4.45
69,Zemio,CF,2022-04-27 19:31:14,5.0314,25.1361,71.04,91,77,1.9
70,Nouadhibou,MR,2022-04-27 19:27:59,20.931,-17.0347,67.98,77,0,18.41
71,Tibati,CM,2022-04-27 19:31:16,6.4667,12.6333,67.35,93,100,6.31
72,Cape Coast,GH,2022-04-27 19:31:16,5.1053,-1.2466,81.32,83,100,13.58
73,Cherskiy,RU,2022-04-27 19:31:17,68.75,161.3,26.76,86,100,2.62
74,Taranagar,IN,2022-04-27 19:31:17,28.6709,75.0351,89.8,11,0,6.13
75,Smirnykh,RU,2022-04-27 19:31:18,49.75,142.8333,28.69,81,100,29.93
76,Gimli,CA,2022-04-27 19:31:20,50.6336,-96.9907,33.82,69,16,5.75
77,Asyut,EG,2022-04-27 19:31:20,27.181,31.1837,84.38,15,0,10.69
78,Kruisfontein,ZA,2022-04-27 19:23:30,-34.0033,24.7314,60.89,67,0,4.47
79,Conde,BR,2022-04-27 19:31:21,-7.2597,-34.9075,80.06,94,75,8.05
80,Taucha,DE,2022-04-27 19:31:21,51.3833,12.4833,53.62,49,0,4.61
81,Traverse City,US,2022-04-27 19:31:21,44.7631,-85.6206,41.72,51,20,13.8
82,Umm Lajj,SA,2022-04-27 19:31:22,25.0213,37.2685,83.07,54,0,9.55
83,Tadine,NC,2022-04-27 19:27:07,-21.55,167.8833,73.9,67,100,14.0
84,Lorengau,PG,2022-04-27 19:31:23,-2.0226,147.2712,81.75,81,94,10.0
85,Saint-Joseph,RE,2022-04-27 19:31:23,-21.3667,55.6167,71.98,81,35,0.98
86,Martapura,ID,2022-04-27 19:31:24,-3.4167,114.85,77.09,100,100,1.14
87,Bugene,TZ,2022-04-27 19:31:24,-1.5911,31.1403,59.58,95,100,1.23
88,Geraldton,AU,2022-04-27 19:31:12,-28.7667,114.6,57.61,94,14,4.61
89,Olinda,BR,2022-04-27 19:31:25,-8.0089,-34.8553,83.93,70,40,11.5
90,Puerto Ayora,EC,2022-04-27 19:31:25,-0.7393,-90.3518,78.76,77,30,8.28
91,Sao Filipe,CV,2022-04-27 19:31:26,14.8961,-24.4956,72.25,72,1,13.67
92,Kirensk,RU,2022-04-27 19:31:26,57.7853,108.1119,21.81,94,19,3.85
93,Butaritari,KI,2022-04-27 19:32:27,3.0707,172.7902,81.27,81,22,17.07
94,Port-Gentil,GA,2022-04-27 19:27:14,-0.7193,8.7815,78.76,89,20,2.3
95,Kodiak,US,2022-04-27 19:32:28,57.79,-152.4072,47.71,66,0,5.75
96,Grand Gaube,MU,2022-04-27 19:32:29,-20.0064,57.6608,73.8,83,14,7.27
97,Sorong,ID,2022-04-27 19:32:29,-0.8833,131.25,78.12,89,100,6.71
98,Pisco,PE,2022-04-27 19:28:15,-13.7,-76.2167,68.05,83,30,11.5
99,General Roca,AR,2022-04-27 19:32:30,-39.0333,-67.5833,54.63,28,100,32.08
100,Niksar,TR,2022-04-27 19:32:30,40.5917,36.9517,57.65,77,100,2.93
101,Honningsvag,NO,2022-04-27 19:32:31,70.9821,25.9704,28.15,69,75,26.46
102,Padang,ID,2022-04-27 19:32:31,-0.9492,100.3543,78.64,87,96,2.3
103,Ossora,RU,2022-04-27 19:32:35,59.2353,163.0719,32.92,99,100,11.97
104,Bereda,ES,2022-04-27 19:32:37,43.2686,-7.5406,53.58,87,100,2.33
105,Olafsvik,IS,2022-04-27 19:32:37,64.8945,-23.7142,43.5,70,77,1.92
106,Moroni,KM,2022-04-27 19:32:12,-11.7022,43.2551,79.03,85,79,12.68
107,Tiksi,RU,2022-04-27 19:22:54,71.6872,128.8694,-3.06,100,100,3.65
108,Fort Saint James,CA,2022-04-27 19:32:38,54.4333,-124.25,50.67,28,47,4.79
109,Esperance,AU,2022-04-27 19:32:39,-33.8667,121.9,57.04,83,99,13.31
110,Port Alfred,ZA,2022-04-27 19:32:39,-33.5906,26.891,60.19,87,0,1.01
111,Tonj,SS,2022-04-27 19:32:40,7.2737,28.6822,85.42,43,90,8.39
112,Suntar,RU,2022-04-27 19:32:40,62.1444,117.6319,21.88,96,86,3.04
113,Souillac,MU,2022-04-27 19:22:22,-20.5167,57.5167,73.78,88,40,3.44
114,Mayo,US,2022-04-27 19:32:41,38.8876,-76.5119,62.13,40,75,13.8
115,Patrocinio,BR,2022-04-27 19:32:41,-18.9439,-46.9925,75.56,58,1,6.2
116,Zalantun,CN,2022-04-27 19:32:43,48.0,122.7167,33.51,50,0,6.15
117,Kigorobya,UG,2022-04-27 19:32:44,1.6162,31.3089,67.32,92,100,3.47
118,Santa Ana,US,2022-04-27 19:28:17,33.7456,-117.8678,78.57,52,0,16.11
119,Bellmead,US,2022-04-27 19:32:44,31.594,-97.1089,80.28,52,20,9.22
120,Mulanje,MW,2022-04-27 19:32:45,-16.0316,35.5,63.93,98,100,8.97
121,Victoria,HK,2022-04-27 19:32:45,22.2855,114.1577,83.32,84,32,8.99
122,Seymchan,RU,2022-04-27 19:32:47,62.8833,152.4333,14.27,88,100,7.49
123,Cleveland,US,2022-04-27 19:28:54,41.4995,-81.6954,39.69,74,100,17.27
124,Liptovsky Hradok,SK,2022-04-27 19:32:49,49.0396,19.7234,45.73,98,100,1.99
125,Birao,CF,2022-04-27 19:32:49,10.2849,22.7882,84.49,47,69,9.15
126,Kungalv,SE,2022-04-27 19:32:50,57.871,11.9805,48.99,54,50,2.53
127,Ulladulla,AU,2022-04-27 19:32:51,-35.35,150.4667,59.9,92,64,5.01
128,Yatou,CN,2022-04-27 19:32:51,37.15,122.3833,46.69,50,6,6.35
129,Kalininsk,RU,2022-04-27 19:32:51,51.5,44.4758,53.06,79,0,14.29
130,Santiago,CL,2022-04-27 19:29:26,-33.4569,-70.6483,61.18,76,100,11.5
131,Waipawa,NZ,2022-04-27 19:32:52,-41.4122,175.5153,50.45,76,79,2.93
132,Chuy,UY,2022-04-27 19:32:52,-33.6971,-53.4616,66.15,79,88,6.93
133,Iqaluit,CA,2022-04-27 19:22:27,63.7506,-68.5145,15.53,66,100,18.41
134,Bubaque,GW,2022-04-27 19:32:53,11.2833,-15.8333,78.03,78,3,15.32
135,Syasstroy,RU,2022-04-27 19:32:54,60.1367,32.5691,27.61,83,5,4.03
136,Hermanus,ZA,2022-04-27 19:32:56,-34.4187,19.2345,53.8,61,0,5.82
137,Khatanga,RU,2022-04-27 19:32:57,71.9667,102.5,13.3,84,100,10.25
138,Kulpahar,IN,2022-04-27 19:32:57,25.3167,79.65,91.74,11,0,2.75
139,Terra Nova,BR,2022-04-27 19:32:58,-12.3667,-40.6667,71.26,86,69,8.1
140,Douentza,ML,2022-04-27 19:33:58,14.9951,-2.9517,89.51,16,1,7.47
141,Burlington,US,2022-04-27 19:29:46,39.8835,-74.6413,55.69,41,75,19.57
142,Sanchor,IN,2022-04-27 19:33:58,24.7553,71.7722,83.55,42,0,10.98
143,Airai,TL,2022-04-27 19:33:59,-8.9266,125.4092,59.2,93,14,1.23
144,Byron Bay,AU,2022-04-27 19:30:31,-28.65,153.6167,60.94,85,58,6.42
145,Mount Isa,AU,2022-04-27 19:31:07,-20.7333,139.5,67.77,100,40,0.0
146,Saint George,US,2022-04-27 19:34:01,37.1041,-113.5841,83.79,11,0,7.0
147,Paita,PE,2022-04-27 19:34:01,-5.0892,-81.1144,72.86,74,15,17.18
148,Krasnoselkup,RU,2022-04-27 19:34:02,65.7,82.4667,34.39,99,100,14.16
149,Naze,JP,2022-04-27 19:31:22,28.3667,129.4833,70.72,88,100,7.09
150,Pevek,RU,2022-04-27 19:34:03,69.7008,170.3133,32.27,75,100,16.4
151,Tuktoyaktuk,CA,2022-04-27 19:34:03,69.4541,-133.0374,6.8,92,100,6.91
152,Tulsipur,NP,2022-04-27 19:34:04,28.131,82.2973,75.52,19,0,6.55
153,Peremyshl,RU,2022-04-27 19:34:04,54.2631,36.1606,45.16,84,4,6.44
154,Kahului,US,2022-04-27 19:33:20,20.8947,-156.47,77.02,76,40,23.02
155,Moron,AR,2022-04-27 19:34:05,-34.6534,-58.6198,69.01,38,0,1.7
156,Shahr-E Babak,IR,2022-04-27 19:34:05,30.1165,55.1186,64.65,32,22,3.44
157,Lata,PT,2022-04-27 19:26:48,40.1629,-8.3327,57.81,82,72,6.71
158,Norman Wells,CA,2022-04-27 19:34:07,65.282,-126.8329,32.04,74,75,9.22
159,Cockburn Town,TC,2022-04-27 19:34:07,21.4612,-71.1419,80.56,47,40,11.5
160,Araouane,ML,2022-04-27 19:34:09,18.9048,-3.5265,80.8,11,0,8.05
161,Hobyo,SO,2022-04-27 19:30:39,5.3505,48.5268,84.0,73,98,13.15
162,Ojinaga,MX,2022-04-27 19:34:09,29.5667,-104.4167,90.57,37,0,9.22
163,Chimbote,PE,2022-04-27 19:34:10,-9.0853,-78.5783,71.47,74,33,8.99
164,Kenai,US,2022-04-27 19:33:19,60.5544,-151.2583,55.02,46,0,3.44
165,Ahipara,NZ,2022-04-27 19:34:11,-35.1667,173.1667,61.3,69,91,4.52
166,Hauterive,FR,2022-04-27 19:34:11,46.0901,3.4459,61.56,75,46,5.88
167,Upernavik,GL,2022-04-27 19:24:34,72.7868,-56.1549,34.81,75,100,4.47
168,Hofn,IS,2022-04-27 19:34:13,64.2539,-15.2082,41.68,82,100,5.46
169,Katsuura,JP,2022-04-27 19:34:13,35.1333,140.3,59.41,65,100,25.79
170,Narsaq,GL,2022-04-27 19:24:58,60.9167,-46.05,48.42,87,100,2.66
171,Itaituba,BR,2022-04-27 19:34:14,-4.2761,-55.9836,91.56,62,40,11.5
172,Burnie,AU,2022-04-27 19:32:19,-41.0667,145.9167,61.03,94,80,10.04
173,Soanierana Ivongo,MG,2022-04-27 19:34:15,-16.9167,49.5833,74.19,91,1,2.75
174,Taltal,CL,2022-04-27 19:34:16,-25.4,-70.4833,69.06,63,21,6.78
175,Chernyshevskiy,RU,2022-04-27 19:34:16,63.0128,112.4714,10.47,97,69,2.59
176,Ilulissat,GL,2022-04-27 19:34:17,69.2167,-51.1,42.82,52,75,14.97
177,Nyurba,RU,2022-04-27 19:34:17,63.2842,118.3319,14.54,97,74,2.24
178,Itarema,BR,2022-04-27 19:34:18,-2.9248,-39.9167,79.92,81,95,11.86
179,Hasaki,JP,2022-04-27 19:34:18,35.7333,140.8333,59.4,55,100,24.05
180,Ponta Do Sol,PT,2022-04-27 19:34:19,32.6667,-17.1,66.0,77,12,3.02
181,Paramonga,PE,2022-04-27 19:34:20,-10.6667,-77.8333,70.68,78,59,8.9
182,Ngunguru,NZ,2022-04-27 19:34:20,-35.6167,174.5,63.28,78,92,14.2
183,Wanaka,NZ,2022-04-27 19:34:21,-44.7,169.15,45.01,85,0,0.76
184,Puerto Ayacucho,VE,2022-04-27 19:34:21,5.6639,-67.6236,82.29,75,87,5.48
